account,opp,stage,forecasted,fc,amount,close,pinned,verdict,win_old,win_new,mom_old,mom_new,fc_conf,risk,commit,ceiling,qual_cap,override,win_reasons,mom_reasons,note
Deutsche Telekom AG,"Deutsche Telekom/ BuyIn eProc, iSource, iSupplier, iContract",Qualified,False,Pipeline,200000.0,2027-06-09,False,Slowing,30.0,29.9,64.0,60.0,21.8,13.6,37.4,30.0,52 by access to power (economic buyer)=gap,False,"trend_nudge +6.0: recent CRM moves: stage advanced, amount up | momentum_adj +5.0: momentum 60 vs stage-expected 50 | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive -2.2: competitive strength -0.50 (weight 15)",engagement +8.0: engagement points 8.0 (type × buyer/rep × recency over 60d) | progression +6.0: stage trend: moved UP recently — deal advancing | verdict_reconcile -4.0: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60,
Evonik Industries AG,Evonik_S2P_2026,Qualified,False,Pipeline,200000.0,2026-12-31,False,Slowing,30.0,30.0,64.0,60.0,22.3,13.6,39.7,30.0,52 by access to power (economic buyer)=gap,False,"differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'automation' in Next-Step/narrative | trend_nudge +6.0: recent CRM moves: stage advanced, amount up | momentum_adj +5.0: momentum 60 vs stage-expected 50 | preference -3.0: preference strength -0.50 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15)",engagement +8.0: buyer touched the deal 14d ago (meeting) — freshness floor | progression +6.0: stage trend: moved UP recently — deal advancing | verdict_reconcile -4.0: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60,
Veritiv,Veritiv_S2P_June26,Qualified,False,Pipeline,200000.0,2027-06-01,False,At Risk,30.0,30.0,58.1,58.1,14.5,30.7,44.2,30.0,52 by access to power (economic buyer)=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'pain point' in Next-Step/narrative | momentum_adj +4.1: momentum 58 vs stage-expected 50 | trend_nudge +4.0: recent CRM moves: stage advanced | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | preference +2.4: preference strength +0.40 (weight 20) | exec_access -2.2: exec access strength -0.50 (weight 15),progression +6.0: stage trend: moved UP recently — deal advancing | engagement +2.1: engagement points 2.1 (type × buyer/rep × recency over 60d),
New Zealand Ministry of Defence,NZ Ministry of Defence_Merlin Intake + ERP,Qualified,False,Pipeline,200000.0,2026-12-31,False,Slowing,24.2,22.2,64.0,60.0,16.8,13.6,51.0,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj +5.0: momentum 60 vs stage-expected 50 | competitive -4.5: competitive strength -1.00 (weight 15) | trend_nudge +4.0: recent CRM moves: stage advanced | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15),engagement +8.0: buyer touched the deal 13d ago (buyer reply) — freshness floor | progression +6.0: stage trend: moved UP recently — deal advancing | verdict_reconcile -4.0: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60,
Zeppelin Systems GmbH,zeppelin_S2P,Qualified,False,Pipeline,200000.0,2027-06-30,False,Slowing,30.0,30.0,64.0,60.0,24.6,13.6,51.0,30.0,52 by access to power (economic buyer)=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'automation' in Next-Step/narrative | momentum_adj +5.0: momentum 60 vs stage-expected 50 | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'vp of procurement' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | trend_nudge +4.0: recent CRM moves: stage advanced | preference -3.0: preference strength -0.50 (weight 20),engagement +8.0: buyer touched the deal 14d ago (meeting) — freshness floor | progression +6.0: stage trend: moved UP recently — deal advancing | verdict_reconcile -4.0: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60,
"Carhartt, Inc",Carhartt_S2P_2025,No Decision,False,Omitted,200000.0,2026-11-12,False,Off Track,5.0,,17.8,,,,,,,,,,Omitted
"Nissan Africa, Middle East & India",Nissan_S2P_2026,Qualified,True,Pipeline,200000.0,2026-08-31,False,Slowing,5.0,5.0,20.0,20.0,0.0,13.6,44.2,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -30.0: momentum 20 vs stage-expected 50 | differentiation +5.1: differentiation strength +0.85 (weight 20) — from MEDDPICC 2.0: (1) No RFQ capability in current eBa tool; (2) | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'roi' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20) | champion +1.4: champion strength +0.30 (weight 15) — from MEDDPICC 2.0: Vinoth Kumar appears to be the internal driver/champi,stalling -25.0: last genuine buyer touch 182d ago vs the ~30d cadence this stage needs — going quiet | confidence -5.0: rep confidence 10% (low) | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b,
Federated Co-operatives Limited,Federated - P2P,Qualified,False,Pipeline,200000.0,2027-06-10,False,Slowing,5.0,5.0,15.0,13.0,0.0,6.4,33.1,30.0,74 by access to power (economic buyer)=partial,False,momentum_adj -37.0: momentum 13 vs stage-expected 50 | competitive -4.5: competitive strength -1.00 (weight 15) | trend_nudge -4.0: recent CRM moves: close pushed 349d | preference +2.4: preference strength +0.40 (weight 20) | differentiation +1.8: differentiation strength +0.30 (weight 20) | close_date_trend -1.6: close date trend -0.63,stalling -25.0: last genuine buyer touch 180d ago vs the ~30d cadence this stage needs — going quiet | close_date_direction -12.0: Close date 2026-06-26 -> 2027-06-10 (pushed out 349d) — 349d cumulative push is beyond tolerance | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b,
Pirelli & C. S.p.A,Pirelli_S2C+ANA,Qualified,False,Pipeline,200000.0,2026-12-31,False,Close Date Risk,30.0,30.0,70.0,70.0,31.2,0.0,44.2,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj +10.0: momentum 70 vs stage-expected 50 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | preference +6.0: preference strength +1.00 (weight 20) — from Next-Step/narrative: 'positive feedback' in Next-Step/narrative | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | exec_access -2.2: exec access strength -0.50 (weight 15) | champion +1.4: champion strength +0.30 (weight 15),engagement +20.0: engagement points 20.0 (type × buyer/rep × recency over 60d),
Corporativo Fragua SAB de CV,Fragua_S2P_May'26,Formal Evaluation,False,Pipeline,200000.0,2026-09-30,False,At Risk,30.1,30.1,46.0,46.0,22.2,16.8,54.7,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -6.0: momentum 46 vs stage-expected 52 | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | preference +1.8: preference strength +0.30 (weight 20) | business_case +0.9: business case strength +0.30 (weight 10),stalling -4.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) — Salesforce shows a,
Public Investment Fund (PIF),PIF_S2C,Formal Evaluation,True,Pipeline,200000.0,2026-07-31,False,Off Track,34.0,11.7,62.6,35.0,0.0,28.1,44.2,60.0,60 by champion=gap,False,momentum_adj -17.0: momentum 35 vs stage-expected 52 | differentiation -3.0: differentiation strength -0.50 (weight 20) | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | business_case -1.5: business case strength -0.50 (weight 10) | exec_access +1.4: exec access strength +0.30 (weight 15),"verdict_reconcile -27.6: the deal's own verdict is 'Off Track' — momentum cannot read hotter than the holistic judgment; capped at 35 | next_step_plan +8.0: 2 upcoming milestone(s), nearest 2026-09-10 — live advancing plan | engagement +4.6: engagement points 4.6 (type × buyer/rep × recency over 60d)",
EDENOR,Edenor_S2P_26,Qualified,False,Pipeline,200000.0,2026-12-18,False,Slowing,5.0,5.0,25.0,25.0,0.0,13.6,44.2,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -25.0: momentum 25 vs stage-expected 50 | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive +2.2: competitive strength +0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20),stalling -25.0: last genuine buyer touch 125d ago vs the ~30d cadence this stage needs — going quiet,
Port Authority of NSW,Port Authority NSW_S2P_2026,Qualified,False,Pipeline,200000.0,2027-02-02,False,On Track,27.2,25.9,67.1,64.4,28.6,0.0,54.7,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj +7.2: momentum 64 vs stage-expected 50 | scope_reduced -7.0: scope narrowed vs prior — Amount was cut from $300k to $200k on the same day the deal moved from Initial Inter | differentiation +5.1: differentiation strength +0.85 (weight 20) — from Next-Step/narrative: 'manual process' in Next-Step/narrative | preference +2.4: preference strength +0.40 (weight 20) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive +2.2: competitive strength +0.50 (weight 15),"engagement +26.4: engagement points 32.2 (type × buyer/rep × recency over 60d) — discounted ×0.82 (deal trending DOWN on 1 axis) | close_date_direction -12.0: Close date 2026-08-14 -> 2027-02-02 (pushed out 172d) — 172d cumulative push is beyond tolerance | progression +6.0: stage trend: moved UP recently — deal advancing | scope_cut -6.0: deal size cut recently (Amount 300000 -> 200000 (35d ago)) — contracting, not advancing",
Etex Group,Etex Group_S2P,Formal Evaluation,False,Pipeline,200000.0,2026-12-31,False,On Track,52.0,52.0,89.0,89.0,55.5,0.0,44.2,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj +18.5: momentum 89 vs stage-expected 52 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'automation' in Next-Step/narrative | trend_nudge +4.0: recent CRM moves: stage advanced | preference -2.4: preference strength -0.40 (weight 20) | stage_trend +2.4: stage trend +0.68 | exec_access -2.2: exec access strength -0.50 (weight 15),engagement +33.0: engagement points 33.0 (type × buyer/rep × recency over 60d) | progression +6.0: stage trend: moved UP recently — deal advancing,
IAG GBS,IAG_SRM,Formal Evaluation,False,Pipeline,200000.0,2026-12-31,False,Slowing,51.8,43.5,76.6,60.0,36.7,13.6,44.2,52.0,52 by access to power (economic buyer)=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | champion +4.5: champion strength +1.00 (weight 15) — from Next-Step/narrative: 'champion' in Next-Step/narrative | momentum_adj +4.0: momentum 60 vs stage-expected 52 | preference -2.4: preference strength -0.40 (weight 20) | exec_access -2.2: exec access strength -0.50 (weight 15) | business_case -1.5: business case strength -0.50 (weight 10),engagement +26.6: engagement points 26.6 (type × buyer/rep × recency over 60d) | verdict_reconcile -16.6: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60,
"McAfee, LLC",McAfee ANA,Shortlisted,True,Best Case,200000.0,2026-07-31,False,Slowing,52.0,52.0,85.0,60.0,45.2,13.6,44.2,52.0,52 by access to power (economic buyer)=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cfo' in Next-Step/narrative | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | close_date_trend -2.0: close date trend -0.81 | momentum_adj +2.0: momentum 60 vs stage-expected 56 | preference +1.8: preference strength +0.30 (weight 20),engagement +35.0: engagement points 35.0 (type × buyer/rep × recency over 60d) | verdict_reconcile -25.0: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60,
UNITED STEEL INDUSTRIAL CO.,USIC/Kuwait Steel S2P,Formal Evaluation,False,Pipeline,200000.0,2026-09-30,False,Slowing,43.3,43.3,45.0,45.0,36.8,13.6,54.7,70.0,86 by champion=partial,False,"momentum_adj -7.0: momentum 45 vs stage-expected 52 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'ai capabilit' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'decision maker' in Next-Step/narrative | preference +2.4: preference strength +0.40 (weight 20) | champion +1.4: champion strength +0.30 (weight 15) — from MEDDPICC 2.0: Anand Singh – IT Director; he leads the initiative, w | competitive +0.9: competitive strength +0.20 (weight 15)",confidence -5.0: rep confidence 10% (low) | engagement +1.1: engagement points 1.1 (type × buyer/rep × recency over 60d) | stalling -1.1: last genuine buyer touch 23d ago vs the ~21d cadence this stage needs — going quiet,
Alghanim Industries,Alghanim_S2P_2026,Formal Evaluation,False,Pipeline,200000.0,2026-12-31,True,Close Date Risk,42.4,37.0,58.8,50.0,35.8,0.0,44.2,52.0,52 by access to power (economic buyer)=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'manual process' in Next-Step/narrative | champion +4.5: champion strength +1.00 (weight 15) — from Next-Step/narrative: 'champion' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | trend_nudge -4.0: recent CRM moves: close pushed 122d | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | momentum_adj -2.0: momentum 50 vs stage-expected 52,"close_date_direction -11.2: Close date 2026-08-31 -> 2026-12-31 (pushed out 122d) — 122d cumulative push is beyond tolerance | process_floor +8.2: on-track structured process — waiting on the buyer's published timeline reads steady, not slowing | engagement +8.0: buyer touched the deal 8d ago (buyer reply) — freshness floor | confidence -5.0: rep confidence 30% (low)",
Intermountain Health,InterMountain_Intake_Ana+Spend_May'26,Formal Evaluation,False,Pipeline,200000.0,2026-11-27,False,Slowing,52.0,52.0,71.8,60.0,45.2,13.6,44.2,52.0,52 by access to power (economic buyer)=gap,False,"differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'consolidat' in Next-Step/narrative | trend_nudge +6.0: recent CRM moves: stage advanced, close pulled in | competitive -4.5: competitive strength -1.00 (weight 15) | momentum_adj +4.0: momentum 60 vs stage-expected 52 | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | exec_access -2.2: exec access strength -0.50 (weight 15)",verdict_reconcile -11.8: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60 | engagement +10.8: engagement points 10.8 (type × buyer/rep × recency over 60d) | progression +6.0: stage trend: moved UP recently — deal advancing | close_date_direction +5.0: Close date 2028-03-01 -> 2026-11-27 (pulled in 460d) — accelerating,
vivaaerobus.com,Viva_S2P_May26,Formal Evaluation,False,Pipeline,200000.0,2027-05-18,False,On Track,52.0,52.0,91.0,91.0,57.9,0.0,54.7,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj +19.5: momentum 91 vs stage-expected 52 | trend_nudge +4.0: recent CRM moves: stage advanced | preference +2.4: preference strength +0.40 (weight 20) | exec_access -2.2: exec access strength -0.50 (weight 15) | stage_trend +2.0: stage trend +0.56 | differentiation +1.8: differentiation strength +0.30 (weight 20),engagement +35.0: engagement points 35.0 (type × buyer/rep × recency over 60d) | progression +6.0: stage trend: moved UP recently — deal advancing,
jeld-wen,JELD-WEN_S2C_2026,Qualified,False,Pipeline,200000.0,2026-12-31,False,At Risk,30.0,30.0,77.0,77.0,18.8,30.7,54.7,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj +13.5: momentum 77 vs stage-expected 50 | trend_nudge +4.0: recent CRM moves: stage advanced | preference +2.4: preference strength +0.40 (weight 20) | exec_access -2.2: exec access strength -0.50 (weight 15) | stage_trend +1.9: stage trend +0.55 | differentiation +1.8: differentiation strength +0.30 (weight 20),engagement +21.0: engagement points 21.0 (type × buyer/rep × recency over 60d) | progression +6.0: stage trend: moved UP recently — deal advancing,
Aeromexico,Aeroméxico S2P via EY LATAM,Formal Evaluation,False,Pipeline,200000.0,2026-12-31,False,At Risk,29.3,29.3,51.4,51.4,22.0,16.8,54.7,52.0,52 by access to power (economic buyer)=gap,False,preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive +2.2: competitive strength +0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | business_case -1.5: business case strength -0.50 (weight 10),engagement +3.0: engagement points 3.0 (type × buyer/rep × recency over 60d) | stalling -1.6: last genuine buyer touch 34d ago vs the ~30d cadence this stage needs — going quiet,
I-MED Radiology Network,Imed Radiology_SRPM_P2P_Intake_2026,Qualified,False,Pipeline,200000.0,2026-12-22,False,Slowing,22.3,22.3,51.0,51.0,16.6,13.6,54.7,30.0,52 by access to power (economic buyer)=gap,False,exec_access -2.2: exec access strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | preference +1.8: preference strength +0.30 (weight 20) | champion +1.4: champion strength +0.30 (weight 15) | competitive +0.9: competitive strength +0.20 (weight 15) | business_case +0.9: business case strength +0.30 (weight 10),engagement +1.0: engagement points 1.0 (type × buyer/rep × recency over 60d),
"KWSP, EPF",EPF Malaysia,Qualified,False,Pipeline,200000.0,2027-01-30,False,Slowing,30.0,30.0,59.5,59.5,22.5,11.7,35.8,30.0,52 by access to power (economic buyer)=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'differentiat' in Next-Step/narrative | preference +6.0: preference strength +1.00 (weight 20) — from Next-Step/narrative: 'positive feedback' in Next-Step/narrative | momentum_adj +4.8: momentum 60 vs stage-expected 50 | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'decision maker' in Next-Step/narrative | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'savings' in Next-Step/narrative | competitive -2.2: competitive strength -0.50 (weight 15),"next_step_plan +8.0: 1 upcoming milestone(s), nearest 2026-07-11 — live advancing plan | engagement +1.5: engagement points 1.5 (type × buyer/rep × recency over 60d)",
International SOS,International SOS_S2C,Qualified,False,Pipeline,200000.0,2026-12-25,False,Slowing,27.9,27.9,53.8,53.8,20.4,13.6,44.2,30.0,52 by access to power (economic buyer)=gap,False,"exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20) | trend_nudge +2.0: recent CRM moves: stage advanced, amount cut | momentum_adj +1.9: momentum 54 vs stage-expected 50 | differentiation +1.8: differentiation strength +0.30 (weight 20) | amount_trend -1.8: amount trend -0.72","progression +6.0: stage trend: moved UP recently — deal advancing | scope_cut -6.0: deal size cut recently (Amount 300000 -> 200000 (1d ago)) — contracting, not advancing | engagement +3.8: engagement points 4.6 (type × buyer/rep × recency over 60d) — discounted ×0.82 (deal trending DOWN on 1 axis)",
Riyadh Cables,Riyadh Cables,Formal Evaluation,False,Pipeline,200000.0,2026-12-31,False,Slowing,18.6,16.6,31.1,29.1,6.2,11.7,39.9,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -22.9: momentum 29 vs stage-expected 52 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'automation' in Next-Step/narrative | exec_access +3.8: exec access strength +0.85 (weight 15) — from MEDDPICC 2.0: Not identified. Hesham Taher is the functional cha | preference -3.0: preference strength -0.50 (weight 20) | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'value case' in Next-Step/narrative | champion -2.2: champion strength -0.50 (weight 15),"close_date_direction -12.0: Close date 2026-05-21 -> 2026-12-31 (pushed out 224d) — 224d cumulative push is beyond tolerance | stalling -7.4: last genuine buyer touch 34d ago vs the ~21d cadence this stage needs — going quiet | progression +6.0: stage trend: moved UP recently — deal advancing | scope_cut -6.0: deal size cut recently (Amount 2e+06 -> 200000 (46d ago)) — contracting, not advancing | confidence -5.0: rep confidence 10% (low) | engagement +3.5: engagement points 4.3 (type × buyer/rep × recency over 60d) — discounted ×0.82 (deal trending DOWN on 1 axis)",
Vestacy,Vestacy_S2C,Qualified,False,Pipeline,200000.0,2026-12-31,False,Slowing,26.3,23.5,56.1,50.6,15.6,13.6,44.2,30.0,52 by access to power (economic buyer)=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'consolidat' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | preference +3.0: preference strength +0.50 (weight 20) | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | close_date_trend -2.3: close date trend -0.92 | exec_access -2.2: exec access strength -0.50 (weight 15),close_date_direction -8.2: Close date 2026-09-30 -> 2026-12-31 (pushed out 92d) — 92d cumulative push is beyond tolerance | progression +6.0: stage trend: moved UP recently — deal advancing | engagement +2.8: engagement points 2.8 (type × buyer/rep × recency over 60d),
Ipsen Pharma,Ipsen_S2P_2026,Qualified,False,Pipeline,200000.0,2026-12-31,False,At Risk,6.5,6.5,45.0,45.0,0.0,14.4,49.6,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -5.0: momentum 45 vs stage-expected 50 | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | business_case -1.5: business case strength -0.50 (weight 10),"confidence -5.0: rep confidence 10% (low) | stalling -4.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) — Salesforce shows a | next_step_plan +4.0: 1 upcoming milestone(s), nearest 2026-07-15 — live advancing plan",
Fresh Direct Holdings Inc,FreshDirect Sourcing + SRM + Intake Opp_May'26,Qualified,False,Pipeline,200000.0,2026-10-28,False,Slowing,11.2,6.1,47.8,42.7,0.0,13.6,52.9,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -7.3: momentum 43 vs stage-expected 50 | differentiation +5.1: differentiation strength +0.85 (weight 20) — from Next-Step/narrative: 'automation' in Next-Step/narrative | preference -3.0: preference strength -0.50 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | close_date_trend -2.2: close date trend -0.89,stalling -8.0: last genuine buyer touch 50d ago vs the ~30d cadence this stage needs — going quiet | progression +6.0: stage trend: moved UP recently — deal advancing | close_date_direction -5.3: Close date 2026-08-26 -> 2026-10-28 (pushed out 63d) — 63d cumulative push is beyond tolerance,
Moore,Moore_S2P,Qualified,False,Pipeline,200000.0,2027-03-31,False,On Track,30.0,30.0,84.5,84.5,35.1,0.0,54.7,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj +17.2: momentum 84 vs stage-expected 50 | differentiation +5.1: differentiation strength +0.85 (weight 20) — from Next-Step/narrative: 'automation' in Next-Step/narrative | trend_nudge +4.0: recent CRM moves: stage advanced | exec_access +3.8: exec access strength +0.85 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | preference -1.8: preference strength -0.30 (weight 20) | champion +1.4: champion strength +0.30 (weight 15),engagement +28.5: engagement points 28.5 (type × buyer/rep × recency over 60d) | progression +6.0: stage trend: moved UP recently — deal advancing,
IC Hotels,IC S2P,Qualified,False,Pipeline,200000.0,2027-02-16,False,Off Track,5.0,5.0,38.0,35.0,0.0,16.8,37.4,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -15.0: momentum 35 vs stage-expected 50 | differentiation -3.0: differentiation strength -0.50 (weight 20) | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive +2.2: competitive strength +0.50 (weight 15),stalling -12.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) | verdict_reconcile -3.0: the deal's own verdict is 'Off Track' — momentum cannot read hotter than the holistic judgment; capped at 35,
Bank Rakyat,Bank Rakyat_2026,Qualified,False,Pipeline,200000.0,2026-12-31,False,Close Date Risk,5.0,5.0,25.0,25.0,0.0,30.4,39.9,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -25.0: momentum 25 vs stage-expected 50 | preference -3.0: preference strength -0.50 (weight 20) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive -2.2: competitive strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | business_case -1.5: business case strength -0.50 (weight 10),stalling -4.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) — Salesforce shows a | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b,
Masdar,Masdar (Abu Dhabi Future Energy Company) S2P (note NOT Masdar City),Qualified,False,Pipeline,200000.0,2026-09-30,False,Slowing,5.6,5.6,25.0,25.0,0.0,13.6,63.2,30.0,86 by champion=partial,False,momentum_adj -25.0: momentum 25 vs stage-expected 50 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'pain point' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20) | champion +1.4: champion strength +0.30 (weight 15) — from Next-Step/narrative: 'champion' in Next-Step/narrative,"stalling -25.0: last genuine buyer touch 293d ago vs the ~30d cadence this stage needs — going quiet | next_step_plan +5.5: 6 upcoming milestone(s), nearest 2026-07-23 — live advancing plan | confidence -5.0: rep confidence 20% (low) | engagement +0.6: engagement points 0.6 (type × buyer/rep × recency over 60d) | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b",
Eversana,Eversana OppS2C - Mar'25,Qualified,True,Pipeline,195000.0,2026-07-22,False,Slowing,5.0,5.0,23.1,17.7,0.0,9.1,33.5,30.0,66 by competitive visibility=gap,False,momentum_adj -32.3: momentum 18 vs stage-expected 50 | trend_nudge -3.7: recent CRM moves: close pushed 83d | preference -3.0: preference strength -0.50 (weight 20) | differentiation +2.4: differentiation strength +0.40 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | champion -2.2: champion strength -0.50 (weight 15) | exec_access +1.8: exec access strength +0.40 (weight 15) — from Next-Step/narrative: 'cfo' in Next-Step/narrative,stalling -25.0: last genuine buyer touch 406d ago vs the ~30d cadence this stage needs — going quiet | close_date_direction -7.3: Close date 2026-04-30 -> 2026-07-22 (pushed out 83d) — 83d cumulative push is beyond tolerance,
LCS (Life Care Services),LCS_OPP_Aug24,Formal Evaluation,True,Best Case,195000.0,2026-08-27,False,Off Track,29.4,13.9,50.5,35.0,0.0,24.5,39.9,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -17.0: momentum 35 vs stage-expected 52 | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | competitive +0.9: competitive strength +0.20 (weight 15),verdict_reconcile -15.5: the deal's own verdict is 'Off Track' — momentum cannot read hotter than the holistic judgment; capped at 35 | engagement +1.6: engagement points 1.6 (type × buyer/rep × recency over 60d) | stalling -1.1: last genuine buyer touch 23d ago vs the ~21d cadence this stage needs — going quiet,
